,start_time,end_time,work_duration,reconfig_count,power_off_count,min_stretch_time,max_stretch_time,mean_stretch_time,stdev_stretch_time,average_power_norm,cost
0,240,24877.9639503816,24637.9639503816,3,0,0.18584507489561475,279.914364474872,12.1830569541392,46.38637632843295,1.5193482007350017,18.510305662723443
1,340,25215.285598837756,24875.285598837756,3,0,0.20430590234735976,280.05995918266177,12.181376896705812,46.35056147509236,1.5129100041081207,18.429326970837757
2,2030,25767.32867082141,23737.32867082141,4,0,0.14432278839565155,278.79528733438264,11.954451947200312,46.225922941337004,1.5384184226473492,18.390949108225435
3,100,23971.07609747756,23871.07609747756,4,0,0.14556529660968195,278.81947809229797,11.947343262573472,46.23200843094849,1.526982195061408,18.243380440236564
4,1130,24104.537694379025,22974.537694379025,3,0,0.194629739955125,279.9835793604065,12.15299325090487,46.3411611209413,1.547778382617152,18.810140237842706
5,40,26087.660982689373,26047.660982689373,3,0,0.1369732387648095,280.2805608854163,11.931907496657653,46.40798714836749,1.4858083210883066,17.728527444989886
6,1020,26057.660982689373,25037.660982689373,3,0,0.13750558720318234,280.29092533375893,11.93537376142816,46.40889878182772,1.5052180023845891,17.965339450890333
7,10,25037.660982689373,25027.660982689373,3,0,0.17259251795364577,279.4485134735641,12.078508069205425,46.31678114903055,1.5067724361266366,18.199563028211895
8,670,26177.2984983296,25507.2984983296,3,0,0.173757310126197,280.086136853423,11.885407586537845,46.38696613328888,1.5025160003990612,17.858015070037503
9,80,25565.079701446542,25485.079701446542,2,0,0.17349693740244798,279.94360521554546,11.88518181004529,46.43102663696768,1.4981617436889492,17.805924704597633
10,70,26354.285089523884,26284.285089523884,2,0,0.17243371299684718,279.3615814390966,11.867357181816182,46.33923936066367,1.4839765863273369,17.610880199398782
11,690,26689.642851886943,25999.642851886943,2,0,0.15516987103944097,280.03217412146194,11.852446799510169,46.38607865442886,1.502177440763876,17.804478200078176
12,300,26058.27375360132,25758.27375360132,2,0,0.1534809414840036,279.1410965311236,11.87061135801418,46.30209173719167,1.4993967206884635,17.79875574277369
13,910,28797.512129432747,27887.512129432747,3,0,0.13254549816193711,280.1943559011541,11.873081324577573,46.40785899899716,1.5205272656408808,18.053343881191743
14,100,27887.512129432747,27787.512129432747,3,0,0.154106623351965,279.4712056759523,11.881962621666327,46.35385679060796,1.5232524262160017,18.099228391661075
15,140,27787.512129432747,27647.512129432747,3,0,0.15343247003392158,52.19667841624405,2.502922772793209,9.690308500543296,1.30468188851128,3.2655180100057333
16,460,27657.512129432747,27197.512129432747,3,0,0.1339056542761515,52.746894618835036,2.531772340020473,9.852021975001168,1.3157802174405915,3.331255960062213
17,40,27207.512129432747,27167.512129432747,2,0,0.13975726881376446,52.803606436448305,1.6263861322430258,7.438094955010973,1.2966099968277771,2.1087885177683705
18,380,27167.512129432747,26787.512129432747,2,0,0.13124173755324606,52.72107686232449,1.6554845940165355,7.424427169834612,1.3010540364585819,2.15387491334021
19,20,26788.771192742064,26768.771192742064,2,0,0.15141563795258742,52.10600917660932,1.6252023068055892,7.337232377608317,1.303477266740443,2.1184142607752126
20,100,27813.044298006957,27713.044298006957,2,0,0.12210147190924434,52.01274615244401,1.6485120107830442,7.322892343474706,1.2880392374252796,2.1233481532554066
21,300,27723.044298006957,27423.044298006957,2,0,0.12493234375350182,52.0352997964777,1.6276596260129879,7.326761304883583,1.2952063690772322,2.1081551143018875
22,1860,27423.044298006957,25563.044298006957,3,0,0.1406173689244285,52.81194222826993,1.6555538603012268,7.435658527276312,1.3312955281713454,2.2040314508658314
23,1000,25563.044298006957,24563.044298006957,3,0,0.1540667658055328,52.363266315615554,1.656649585389064,7.370111888389221,1.34815125691342,2.2334142208073624
24,150,24563.044298006957,24413.044298006957,3,0,0.15365671340505385,52.25557244300072,1.6622563269351054,7.353560308924393,1.3535358504814232,2.2499235311962344
25,230,24423.044298006957,24193.044298006957,3,0,0.15506971500591818,52.62667529285718,1.7099665046519148,7.406316895284991,1.3289852172022907,2.272520206593467
26,580,25748.149179522046,25168.149179522046,3,0,0.14743287045851286,52.06740957606021,1.7019734501388928,7.325648305174271,1.3268530584518958,2.2582686777207153
27,970,25168.149179522046,24198.149179522046,3,0,0.13906722811546005,52.796918801441784,1.7127854687711805,7.430925119178884,1.3510742460852567,2.3141003359258057
28,450,24198.149179522046,23748.149179522046,3,0,0.1304181301014085,52.71309474468974,1.718516344141918,7.417711929627516,1.359976695425256,2.3371421787404176
29,140,23758.149179522046,23618.149179522046,3,0,0.148017774156234,2.6254989084612648,0.5477958841919178,0.4513110500107249,1.33175844083463,0.7295317926270559
30,950,23659.252589208063,22709.252589208063,4,0,0.15352663253145737,2.6352069916112484,0.5345687741245092,0.44668348341507685,1.352112179542044,0.7227969502966088
31,120,24112.30720533584,23992.30720533584,4,0,0.14140219712275773,2.6743546514123118,0.5325283335816113,0.456371107197593,1.3501720948531974,0.7190048957205665
32,20,24002.30720533584,23982.30720533584,4,0,0.1502293376059518,2.6269017233857395,0.5272159380845761,0.4478639383017423,1.3657434284701833,0.7200417028237529
33,250,23986.449426594783,23736.449426594783,4,0,0.15453095444141965,2.6524704455461108,0.5303057497631641,0.4576627367415566,1.3672737851493268,0.7250731497651332
34,580,23736.449426594783,23156.449426594783,4,0,0.15398948393375897,42.63317013103282,1.3930959901243771,5.96819287156279,1.3760847842862745,1.9170181950603775
35,1600,23158.520537224256,21558.520537224256,4,0,0.15338126808135086,43.03500268474844,1.4758448802773723,6.034440377762051,1.3958335184253514,2.060033751887606
