,start_time,end_time,work_duration,reconfig_count,power_off_count,min_stretch_time,max_stretch_time,mean_stretch_time,stdev_stretch_time,average_power_norm,cost
0,0,25190,25190,13,334,0.29878966028091636,353.1907487383739,18.84995694552965,60.748056051445744,1.2738558642832416,24.01212819654957
1,0,25380,25380,16,335,0.2735402881871882,430.8579292336152,24.100700101987968,79.98364735675872,1.2788813758039983,30.821936504269935
2,0,25780,25780,14,348,0.2528710037295677,434.0646590034468,23.88828984196054,80.06280850863067,1.2610986078001925,30.125489062423917
3,0,24240,24240,12,308,0.2983663484231941,321.1569445556546,19.991883166685923,63.137524071142074,1.2915159773809286,25.819836527707704
4,0,24310,24310,11,314,0.20843008280113706,306.0374048763183,20.547870108337666,64.26702158992322,1.287425372958505,26.453849337729537
5,0,26400,26400,16,363,0.26338541957323547,307.9627504960726,17.589912008910314,54.35473273339444,1.2431372785805654,21.866675345228376
6,0,26280,26280,13,361,0.23455316791412872,283.5476535232479,17.104700006432203,53.19974050801175,1.240588071949268,21.219886802250358
7,0,25430,25430,11,342,0.26108705097485163,540.3269876996444,25.47136009358949,90.69626349122477,1.2629125352351986,32.168099951683764
8,0,26670,26670,13,366,0.20940407372458936,315.9101469378017,14.644385584948271,53.20339067145871,1.245852478377435,18.244744075322586
9,0,25870,25870,17,335,0.2648492226868653,1883.8822385388648,81.94794795214638,278.4623273706493,1.2904178686233518,105.7470963344661
10,0,26420,26420,13,361,0.1843323090115796,294.01685829179695,14.368048718305825,49.70949652242561,1.2512602016729877,17.978167536914658
11,0,26700,26700,15,357,0.15516987103944097,301.2009073531402,14.519201209128674,50.855424153080065,1.2681556971141135,18.412607730902653
12,0,26300,26300,11,353,0.22446737673750225,287.282917004846,13.8636425417079,48.70515935672014,1.2637178864656993,17.519733051523062
13,0,28870,28870,14,372,0.18016820094427563,1892.2748096981957,78.99051077782663,277.5106953868984,1.2868315384088362,101.6474805039304
14,0,27910,27910,11,354,0.16336572360242135,294.1264825286527,14.16800687993442,49.76960748223601,1.3008844297006015,18.430939549997685
15,0,27820,27820,20,504,0.16577793703453003,83.71183167187786,5.237872754832941,16.0172406785203,0.9924297846485908,5.198220930095577
16,0,27850,27850,13,506,0.25625138611196974,96.21569447451927,5.045478296327152,16.222513447817107,0.9906006818095751,4.9980542403970905
17,0,27470,27470,15,509,0.2595536873102307,69.04324880320098,4.332943819324693,12.54316830815845,0.9710320906537316,4.207427495564021
18,0,27370,27370,11,509,0.17390863210560337,71.39247761346147,4.076168501541949,11.995181703614472,0.9623285274617916,3.922613231775002
19,0,27120,27120,15,495,0.2706199368585609,70.7774099277463,4.1492975644289585,11.564462959610983,0.9828718437713948,4.078227747506448
20,0,27890,27890,12,518,0.16507760131007693,78.790008184862,4.221141020623925,12.749979811936377,0.9520124121725442,4.018578645164658
21,0,27970,27970,12,521,0.1589907424807359,72.32787280387089,3.370030278125324,10.260707658060223,0.9620816974764204,3.2422444505257446
22,0,27440,27440,16,497,0.18972516684311005,78.77861813255983,3.279690026296351,11.15864892614479,0.9905469123366708,3.248686828969225
23,0,25930,25930,18,449,0.18801680005720606,20.059553155402675,2.009061092689659,3.3129091153346617,1.0291333501685154,2.067591773012927
24,0,24950,24950,17,433,0.18349164805074603,57.95759514408807,2.7388097941486524,8.171445115950865,1.0378212610773794,2.8423950344144324
25,0,24760,24760,13,440,0.17874460049713886,72.91924830025036,3.374428854002468,10.353303301740416,1.0089308640224193,3.404565419250892
26,0,25940,25940,11,462,0.16837210309640363,53.71650163650703,2.781848143172716,7.658187584260624,1.0027736325895773,2.789563967841875
27,0,25320,25320,12,441,0.16497703003095762,73.90007793696307,3.224916073345926,10.456868536168447,1.0269609197783565,3.311862776891338
28,0,24420,24420,12,419,0.1770033307238228,55.983359061392775,2.8465262411043892,8.039569049858489,1.0539160003053385,2.9999995507889277
29,0,23790,23790,16,417,0.2714768890189129,30.306984765191853,2.1403641701900287,4.448511790929494,1.0289784858949136,2.202388683105859
30,0,23800,23800,15,418,0.22532214570078984,10.083475470014601,1.6726753227943878,1.9402152697074913,1.0279806156683475,1.7194778081394266
31,0,24210,24210,14,416,0.1619768275762664,21.978416485772772,1.9676314468879366,3.4831108107289617,1.0452110456110364,2.0565901219788967
32,0,24210,24210,18,404,0.16847529745178175,14.295483988392343,1.8478000161320711,2.622135427632057,1.0788892841497204,1.993571636656572
33,0,24120,24120,14,400,0.15761732119157176,9.862830506325212,1.5304503219593908,1.9044858522094774,1.0775222038821477,1.6490942038498253
34,0,23830,23830,12,400,0.17559405118482377,53.64317680537299,3.2045276646267133,8.534140633139872,1.0736042832528943,3.4403946265456335
35,0,23220,23220,16,383,0.2609190788346377,49.04046087075217,2.5770850622522197,6.953326190255914,1.0909938736912284,2.8115840148983495
36,0,21880,21880,15,348,0.1905338159876376,56.06566199305641,2.95763182530207,8.726438720218914,1.1186238581831156,3.308477523504572
37,0,56860,56860,13,907,0.22638990285447375,49.74412601559589,2.5798192136652545,7.043196194465964,1.1044596043675123,2.8493061080644337
38,0,56690,56690,14,903,0.16335940568783844,60.16705956426866,3.0521918037685114,8.55565898975253,1.1038252819816232,3.3690864784567762
