,epoch,min_cost,max_cost,mean_cost,std_cost
0,0,4.227987929477821,13.818250604732931,9.060399095123326,1.744029715414272
1,1,4.083490306148128,12.227067742408238,8.399023324517714,1.5315189397938491
2,2,3.9524025905001565,11.48254355083201,7.865558278604428,1.43363387735679
3,3,3.8676811866886265,9.111484844655877,7.282554394135215,1.1222939474127278
4,4,3.7422199022324825,8.482573939055847,6.695229867173778,1.155618759175055
5,5,3.615806080358335,7.621347826760479,6.2188838559662125,1.1239027458407969
6,6,3.528891630847811,7.34596128798749,5.755114522222682,1.0296164083466228
7,7,3.1698470896865816,6.560406022719082,5.39660883652996,1.0031072633917848
8,8,3.0192767400138334,6.041873248030243,4.9480402104876235,0.9449603489477598
9,9,2.881494365327057,5.5367796273477135,4.639902591318378,0.8972299561072414
10,10,2.762684398548198,5.341629471051322,4.23658151097256,0.799941590096602
11,11,2.6030121754088578,4.875189489664995,3.8998279875043926,0.7012687310971492
12,12,2.4566390198783865,4.773929824864141,3.6081507248105154,0.6020420599233144
13,13,2.268444832425959,4.532404204055334,3.30303471532304,0.4880976307254
14,14,2.1191775509744253,4.007747035762293,2.9923560804085194,0.40229768239685276
15,15,1.9655885982591825,3.5358343665535776,2.7166774729838417,0.34426454116183186
16,16,1.8080102739399226,3.033755783098953,2.4411395770048387,0.2357503715229074
17,17,1.6996712436083876,2.62927651697686,2.201870159407461,0.2224265770570488
18,18,1.647981476415165,2.4659892263554255,2.1658264344604388,0.20283975406483706
19,19,1.4972804458194011,2.5013686378974076,2.114845929728755,0.26480756817417295
20,20,1.555418088323598,2.639101439998428,2.0668024055030774,0.28802708626788376
21,21,1.509756633214899,2.4867973884180823,2.033351696069445,0.26563464814075094
22,22,1.4430205744075026,2.4832321455835666,1.9839771449416517,0.25946590073070697
23,23,1.43892069741108,2.4527547480519036,1.9931429074992135,0.280719591829193
24,24,1.453994127465035,2.8867093627505005,2.0306933553023527,0.33334309576891025
25,25,1.4494638821810275,2.43367416562335,2.036855558657565,0.3327469869821816
26,26,1.4468672904214088,2.4150644772842447,2.069277566807044,0.3182503292852022
27,27,1.4661512714195453,2.454186782873346,2.11102053557738,0.3471306673955257
28,28,1.4884071982520028,2.59979537821766,2.1976750235293467,0.40269669379737816
29,29,1.5116432257161603,2.703895019671861,2.231432301445591,0.42156332788118456
30,30,1.5594880015461088,2.7619162700073114,2.3444833269346153,0.4439451590031998
31,31,1.631553383253815,2.863450083602874,2.392467916672729,0.43731124307309266
32,32,1.6797279302956785,2.925323348821093,2.439877501857373,0.4398381393508147
33,33,1.7313828332633585,3.0205488899730835,2.5321755954591723,0.4525894915092026
34,34,1.8618657624324488,3.2259472999773986,2.7223455561488925,0.5059090646207851
35,35,2.01063266876976,3.4874877123778045,2.936353790367911,0.5418402136299262
36,36,2.144026193931579,3.731654036134859,3.14277044009861,0.5828755501798825
37,37,2.3110523830559404,4.22077098936019,3.3926681968101384,0.6270022237558633
38,38,2.46876750618328,4.485172058256542,3.6181196022737834,0.6498689005076709
39,39,2.653876779805261,4.544191554252244,3.845377989213348,0.7016689135006026
40,40,2.6594709531794116,4.573080494474922,3.8537610684447756,0.7217940927389429
41,41,2.664628495583303,4.518189941284144,3.852376155830606,0.699209035830508
42,42,2.6726953844710666,4.458203367312923,3.8678169598182657,0.704460791462894
43,43,2.6917974729052596,4.7481281845015575,3.9084645393211415,0.7343017926740514
44,44,2.6981503976595294,4.595707477331237,3.913937461282302,0.7284838102131923
45,45,2.698329936674948,4.715149628682476,3.9419095734233194,0.7441072240745212
46,46,2.7312640872539347,4.716177320525859,3.9756253495305884,0.7569940199125242
47,47,2.701427218761938,4.830521517518564,3.9813591106153376,0.7901643616506588
48,48,2.669937763259034,4.850376263391126,4.001190084126138,0.7821417706867466
49,49,2.7472167627256376,4.766600457636597,4.034381710829294,0.7935848791769502
50,50,2.7600097309876057,4.985174000726998,4.038544471229108,0.8117412128481868
51,51,2.704574569472957,5.029517585107809,4.065295941915568,0.8335862418665306
52,52,2.775376930424913,4.969110537294077,4.110508451708579,0.8398644351588563
53,53,2.720976070659444,4.820079974183391,4.10357682508871,0.8448311077989348
54,54,2.7632588358742765,5.036511767087046,4.146237210211402,0.8885531785170186
55,55,2.6710789023436607,5.074025280249792,4.204844356633368,0.9369040219766078
56,56,2.768229876283787,5.123753621492109,4.22167525423616,0.9420812710793542
57,57,2.7644336005435624,5.187150732553364,4.239792267587973,0.9560730190852337
58,58,2.730930097940909,5.074990434733454,4.234359043500259,0.9677160875577051
59,59,2.635134619026361,5.22929665459527,4.23530897742985,0.9815785848476627
60,60,2.672415678881553,5.209564874804781,4.256985959289901,0.9957433014424693
61,61,2.6225013481089747,5.3200878732785855,4.209824248371376,1.003460900703597
62,62,2.614469539316489,5.31249901762988,4.200517926301334,0.9894228267388335
63,63,2.6083099709426585,5.230679172893668,4.193211179674584,0.9741709622167931
64,64,2.6045322102307042,5.139007822964079,4.1621039252346055,0.9540836960238331
65,65,2.6465352197135354,5.286051942651454,4.159044261566374,0.9705647596399798
66,66,2.642244540229592,5.1820564714395045,4.123392063891259,0.959806851081014
67,67,2.5977503803553565,5.08315636699913,4.0896130020807036,0.9502155457198743
68,68,2.5872881209703174,5.040498105378372,4.045262432566781,0.9411745710388687
69,69,2.582195144252461,4.94981424678208,4.031523136130054,0.926272385245893
70,70,2.578208772372445,4.955443033034613,4.026714975344091,0.9348607755253318
71,71,2.571883577754654,4.963786911925073,4.015666257571143,0.9312330008991206
72,72,2.5637128004727456,4.95253518087173,3.9829540514584605,0.9320417817862463
