,start_time,end_time,work_duration,reconfig_count,power_off_count,min_stretch_time,max_stretch_time,mean_stretch_time,stdev_stretch_time,average_power_norm,cost
0,0,18330,18330,2,15,0.20415058644352307,568.0139270334332,38.91985923316786,105.678389393486,1.700145188260977,66.1694114030649
1,0,18190,18190,1,26,0.20354396896412522,572.1761407651263,39.625771785650365,106.16387656676693,1.7085993915949667,67.7045695644432
2,0,17920,17920,0,24,0.20327044313367815,529.3650065939748,39.4265380462516,100.0032967650591,1.7231034684931594,67.93600445817364
3,0,16810,16810,1,16,0.20413636716501246,639.8596246062162,46.08570869275259,116.2613045163324,1.7716942864190959,81.64978677652462
4,0,17110,17110,2,13,0.20342731711607487,648.4571849245949,47.07938683480886,117.51019805073005,1.7606540890390472,82.8905149401573
5,0,16770,16770,1,14,0.2468042088322062,527.8993672423431,39.784042026904345,99.55571167705817,1.808135347779104,71.93493266637518
6,0,17010,17010,2,12,0.1975545488285126,590.330584197673,43.32457400701004,108.7903565412023,1.787647555368476,77.44906881101213
7,0,16400,16400,4,11,0.2583832270768851,429.32122271427,33.19278476518012,82.84299919798794,1.82175505815187,60.469123540113216
8,0,15900,15900,2,12,0.263594825778809,453.6396882537962,34.795439078768304,88.98966243790431,1.868450342277788,65.01355005643056
9,0,16080,16080,3,10,0.26584388729711994,624.622672770992,45.01627427771282,114.9299962658819,1.8457473202807269,83.08866761711064
10,0,15910,15910,1,10,0.27477101256144726,527.1390359244375,38.90089949170263,99.55371631390307,1.8707700250339434,72.77463671593544
11,0,16490,16490,1,10,0.2205904289659316,529.041112018901,39.022475492920286,99.83463230359924,1.8485790124193642,72.13612920886142
12,0,16080,16080,0,12,0.22079794835365463,455.10321385128066,34.705847370211615,89.14063326801042,1.8670477904108664,64.79747564689038
13,0,20410,20410,0,12,0.22018434260849595,454.62739240061956,34.76915936624624,89.03765770733612,1.765756004011703,61.39385190538904
14,0,18680,18680,2,8,0.15205285290104736,563.1564354698746,41.103412062550355,104.84182270008135,1.8710629593927897,76.90707181489675
15,0,18480,18480,4,42,0.1730321123440604,138.47800883222396,5.593235613379937,21.947002182739137,1.3446456432309972,7.520919899095786
16,0,18480,18480,5,40,0.17360926359621803,138.94342317707094,5.727573293509048,22.006699358547245,1.3475422970589106,7.718147272508452
17,0,18190,18190,4,46,0.1737261523896375,127.81058836964598,5.316443498077712,20.676821167418044,1.3230813717618004,7.0340873563307635
18,0,18170,18170,4,46,0.1718853505741787,133.0624234474713,5.528562010812065,21.32743743204496,1.3238041238405593,7.318733188821267
19,0,17940,17940,3,44,0.1728452338685113,183.2356855446634,6.584948295135186,27.636930725789625,1.3215320475269348,8.702220203329
20,0,17930,17930,4,46,0.17320990934530314,75.7827835305407,2.7976748576080337,10.69620183598975,1.3233772660617142,3.7023793043909152
21,0,17880,17880,5,44,0.1743701946966474,76.22900457743916,2.8192922496233197,10.768786707395726,1.3231041099591005,3.730217162652453
22,0,17740,17740,5,44,0.17430023330454436,76.2020989153186,2.9962430957297035,10.794428643188468,1.3415130779227684,4.019499297557198
