,start_time,end_time,work_duration,reconfig_count,power_off_count,min_stretch_time,max_stretch_time,mean_stretch_time,stdev_stretch_time,average_power_norm,cost
0,240,24877.9639503816,24637.9639503816,0,0,0.18584507489561475,279.914364474872,12.161179437830972,46.39173679632513,1.5126117820722593,18.395143301558022
1,340,25215.285598837756,24875.285598837756,0,0,0.20430590234735976,280.05995918266177,12.158521856957117,46.35621300242005,1.506302668536067,18.314413918588603
2,2030,25767.32867082141,23737.32867082141,0,0,0.14432278839565155,278.79528733438264,11.913687739657695,46.23576225693053,1.5300183892372559,18.228161325306708
3,100,23971.07609747756,23871.07609747756,0,0,0.14556529660968195,278.81947809229797,11.906579055030853,46.24183875499922,1.5186292262598746,18.081678937743533
4,1130,24104.537694379025,22974.537694379025,0,0,0.194629739955125,279.9835793604065,12.13202622419723,46.34630900092772,1.5406244036518906,18.690895666742954
5,40,26087.660982689373,26047.660982689373,0,0,0.1369732387648095,280.2805608854163,11.909052456908958,46.41350053408235,1.4794983741218046,17.619423747328085
6,1020,26057.660982689373,25037.660982689373,0,0,0.13750558720318234,280.29092533375893,11.912518721679465,46.41441352851464,1.4986535170073079,17.85273807866033
7,10,25037.660982689373,25027.660982689373,0,0,0.17259251795364577,279.4485134735641,12.056630552897197,46.32211051536799,1.500140907903439,18.086644703879543
8,670,26177.2984983296,25507.2984983296,0,0,0.173757310126197,280.086136853423,11.86255254678915,46.392463754087466,1.4960723795893958,17.74723721667909
9,80,25565.079701446542,25485.079701446542,0,0,0.17349693740244798,279.94360521554546,11.889814441943235,46.42988236255989,1.495690754346703,17.7834855317124
10,70,26354.285089523884,26284.285089523884,0,0,0.17243371299684718,279.3615814390966,11.871989813714128,46.33808925910144,1.4815807303961563,17.589311339458305
11,690,26689.642851886943,25999.642851886943,0,0,0.15516987103944097,280.03217412146194,11.855844122676654,46.385232585387044,1.4998582883794491,17.782086073131357
12,300,26058.27375360132,25758.27375360132,0,0,0.1534809414840036,279.1410965311236,11.875243989912127,46.300938341345365,1.4969519388319243,17.776669514801114
13,910,29172.81331233046,28262.81331233046,0,0,0.13254549816193711,280.1943559011541,11.877145246608858,46.4068430613113,1.5073663734426057,17.903209357231876
14,100,28262.81331233046,28162.81331233046,0,0,0.154106623351965,279.4712056759523,11.886166492452126,46.35281345855982,1.5099812971579682,17.94788909850844
15,140,28162.81331233046,28022.81331233046,0,0,0.15343247003392158,52.19667841624405,2.5039677366437854,9.69016703036233,1.287464948997376,3.223770694349166
16,460,28032.81331233046,27572.81331233046,0,0,0.1339056542761515,52.746894618835036,2.532533496394719,9.85192423260379,1.2988085850620181,3.2892762470745907
17,40,27582.81331233046,27542.81331233046,0,0,0.13975726881376446,52.803606436448305,1.6240584905334676,7.438350358331805,1.2857826868071769,2.08818628949013
18,380,27542.81331233046,27162.81331233046,0,0,0.13124173755324606,52.72107686232449,1.6453810382084815,7.42426388191151,1.2900138533798184,2.1225643333774094
19,20,27162.81331233046,27142.81331233046,0,0,0.15141563795258742,52.10600917660932,1.6132859025624569,7.337330075038735,1.2924447502411913,2.0850828954049696
20,100,27783.044298006957,27683.044298006957,0,0,0.12210147190924434,52.01274615244401,1.6363851541662573,7.323065762667643,1.28162570093257,2.097233270203981
21,300,27693.044298006957,27393.044298006957,0,0,0.12493234375350182,52.0352997964777,1.6121003488171266,7.327341557949011,1.2896010124459534,2.078966241999041
22,1860,27393.044298006957,25533.044298006957,0,0,0.1406173689244285,52.81194222826993,1.6384300221331562,7.4365244807439685,1.3223714620014382,2.1666131037552705
23,1000,25533.044298006957,24533.044298006957,0,0,0.1540667658055328,52.363266315615554,1.6448199496710594,7.370563217810647,1.3388840456284838,2.2022231885460273
24,150,24533.044298006957,24383.044298006957,0,0,0.15365671340505385,52.25557244300072,1.6643584583958448,7.3528089856557886,1.344218254024288,2.237261021015418
25,230,24393.044298006957,24163.044298006957,0,0,0.15506971500591818,52.62667529285718,1.7224071636062837,7.407024787346847,1.3195523045546715,2.272806342118147
26,580,25748.149179522046,25168.149179522046,0,0,0.14743287045851286,52.06740957606021,1.7139770014405027,7.326403507068098,1.3173917631784744,2.2579791839750585
27,970,25168.149179522046,24198.149179522046,0,0,0.13906722811546005,52.796918801441784,1.7244369717471513,7.431771397895961,1.341247153900828,2.312896180437229
28,450,24198.149179522046,23748.149179522046,0,0,0.1304181301014085,52.71309474468974,1.7309570030962869,7.418407447303023,1.3499633911933295,2.336728585909706
29,140,23758.149179522046,23618.149179522046,0,0,0.148017774156234,3.102967484222818,0.5597994354935277,0.49297438478759154,1.3216762244398146,0.7398736043466253
30,950,23626.84412052963,22676.84412052963,0,0,0.15352663253145737,3.1126755673728015,0.5456128019827581,0.4890136877505053,1.3410876133141725,0.7317145704047152
31,120,24431.268155685888,24311.268155685888,0,0,0.14140219712275773,3.1518232271738653,0.5458273146135201,0.4986082819317429,1.3292757326396965,0.725555003527645
32,20,24321.268155685888,24301.268155685888,0,0,0.1502293376059518,3.104370299147293,0.5408669674421239,0.49003921555282437,1.3446206805738932,0.7272609098619663
33,250,24301.268155685888,24051.268155685888,0,0,0.15453095444141965,3.129939021307664,0.541542716410719,0.49940283755127407,1.3460882782874704,0.7289643027524246
34,580,24051.268155685888,23471.268155685888,0,0,0.15398948393375897,3.120631595995761,0.5628589849745075,0.49133424174661056,1.3542200192298908,0.7622349054558943
35,1600,23471.268155685888,21871.268155685888,0,0,0.15338126808135086,3.1101768740123306,0.5745196273732766,0.4918414395163934,1.3721248615628518,0.7883126641746984
